Date,Index level,Dividend
1970.01,90.31,3.16
1970.02,87.16,3.17
1970.03,88.65,3.17
1970.04,85.95,3.17
1970.05,76.06,3.18
1970.06,75.59,3.18
1970.07,75.72,3.18
1970.08,77.92,3.19
1970.09,82.58,3.19
1970.10,84.37,3.17
1970.11,84.28,3.16
1970.12,90.05,3.14
1971.01,93.49,3.13
1971.02,97.11,3.12
1971.03,99.60,3.11
1971.04,103.00,3.11
1971.05,101.60,3.10
1971.06,99.72,3.10
1971.07,99.00,3.10
1971.08,97.24,3.09
1971.09,99.40,3.09
1971.10,97.29,3.08
1971.11,92.78,3.08
1971.12,99.17,3.07
1972.01,103.30,3.07
1972.02,105.20,3.07
1972.03,107.70,3.07
1972.04,108.80,3.07
1972.05,107.70,3.07
1972.06,108.00,3.07
1972.07,107.20,3.07
1972.08,111.00,3.08
1972.09,109.40,3.08
1972.10,109.60,3.10
1972.11,115.10,3.13
1972.12,117.50,3.15
1973.01,118.40,3.16
1973.02,114.20,3.16
1973.03,112.40,3.17
1973.04,110.30,3.19
1973.05,107.20,3.20
1973.06,104.80,3.22
1973.07,105.80,3.24
1973.08,103.80,3.25
1973.09,105.60,3.27
1973.10,109.80,3.31
1973.11,102.00,3.34
1973.12,94.78,3.38
1974.01,96.11,3.40
1974.02,93.45,3.42
1974.03,97.44,3.44
1974.04,92.46,3.46
1974.05,89.67,3.48
1974.06,89.79,3.50
1974.07,79.31,3.53
1974.08,76.03,3.56
1974.09,68.12,3.59
1974.10,69.44,3.59
1974.11,71.74,3.60
1974.12,67.07,3.60
1975.01,72.56,3.62
1975.02,80.10,3.65
1975.03,83.78,3.67
1975.04,84.72,3.68
1975.05,90.10,3.70
1975.06,92.40,3.71
1975.07,92.49,3.71
1975.08,85.71,3.71
1975.09,84.67,3.71
1975.10,88.57,3.70
1975.11,90.07,3.69
1975.12,88.70,3.68
1976.01,96.86,3.68
1976.02,100.60,3.69
1976.03,101.10,3.69
1976.04,101.90,3.71
1976.05,101.20,3.74
1976.06,101.80,3.76
1976.07,104.20,3.79
1976.08,103.30,3.82
1976.09,105.50,3.85
1976.10,101.90,3.92
1976.11,101.20,3.98
1976.12,104.70,4.05
1977.01,103.80,4.10
1977.02,101.00,4.14
1977.03,100.60,4.19
1977.04,99.05,4.25
1977.05,98.76,4.30
1977.06,99.29,4.36
1977.07,100.20,4.41
1977.08,97.75,4.45
1977.09,96.23,4.50
1977.10,93.74,4.56
1977.11,94.28,4.61
1977.12,93.82,4.67
1978.01,90.25,4.71
1978.02,88.98,4.76
1978.03,88.82,4.80
1978.04,92.71,4.84
1978.05,97.41,4.87
1978.06,97.66,4.91
1978.07,97.19,4.95
1978.08,103.90,4.98
1978.09,103.90,5.02
1978.10,100.60,5.04
1978.11,94.71,5.05
1978.12,96.11,5.07
1979.01,99.71,5.11
1979.02,98.23,5.16
1979.03,100.10,5.20
1979.04,102.10,5.25
1979.05,99.73,5.29
1979.06,101.70,5.34
1979.07,102.70,5.40
1979.08,107.40,5.45
1979.09,108.60,5.51
1979.10,104.50,5.56
1979.11,103.70,5.60
1979.12,107.80,5.65
1980.01,110.90,5.70
1980.02,115.30,5.75
1980.03,104.70,5.80
1980.04,103.00,5.85
1980.05,107.70,5.89
1980.06,114.60,5.94
1980.07,119.80,5.98
1980.08,123.50,6.03
1980.09,126.50,6.07
1980.10,130.20,6.10
1980.11,135.70,6.13
1980.12,133.50,6.16
1981.01,133.00,6.20
1981.02,128.40,6.24
1981.03,133.20,6.28
1981.04,134.40,6.32
1981.05,131.70,6.35
1981.06,132.30,6.39
1981.07,129.10,6.43
1981.08,129.60,6.48
1981.09,118.30,6.52
1981.10,119.80,6.56
1981.11,122.90,6.59
1981.12,123.80,6.63
1982.01,117.30,6.66
1982.02,114.50,6.69
1982.03,110.80,6.72
1982.04,116.30,6.75
1982.05,116.40,6.78
1982.06,109.70,6.81
1982.07,109.40,6.82
1982.08,109.70,6.84
1982.09,122.40,6.85
1982.10,132.70,6.86
1982.11,138.10,6.86
1982.12,139.40,6.87
1983.01,144.30,6.88
1983.02,146.80,6.90
1983.03,151.90,6.91
1983.04,157.70,6.92
1983.05,164.10,6.93
1983.06,166.40,6.94
1983.07,167.00,6.96
1983.08,162.40,6.98
1983.09,167.20,7.00
1983.10,167.70,7.03
1983.11,165.20,7.06
1983.12,164.40,7.09
1984.01,166.40,7.12
1984.02,157.30,7.15
1984.03,157.40,7.18
1984.04,157.60,7.22
1984.05,156.60,7.27
1984.06,153.10,7.31
1984.07,151.10,7.33
1984.08,164.40,7.36
1984.09,166.10,7.38
1984.10,164.80,7.43
1984.11,166.30,7.48
1984.12,164.50,7.53
1985.01,171.60,7.57
1985.02,180.90,7.62
1985.03,179.40,7.66
1985.04,180.60,7.69
1985.05,184.90,7.71
1985.06,188.90,7.74
1985.07,192.50,7.77
1985.08,188.30,7.81
1985.09,184.10,7.84
1985.10,186.20,7.86
1985.11,197.50,7.88
1985.12,207.30,7.90
1986.01,208.20,7.94
1986.02,219.40,7.98
1986.03,232.30,8.02
1986.04,238.00,8.05
1986.05,238.50,8.07
1986.06,245.30,8.10
1986.07,240.20,8.14
1986.08,245.00,8.19
1986.09,238.30,8.23
1986.10,237.40,8.25
1986.11,245.10,8.26
1986.12,248.60,8.28
1987.01,264.50,8.30
1987.02,280.90,8.32
1987.03,292.50,8.34
1987.04,289.30,8.40
1987.05,289.10,8.46
1987.06,301.40,8.52
1987.07,310.10,8.57
1987.08,329.40,8.61
1987.09,318.70,8.66
1987.10,280.20,8.71
1987.11,245.00,8.76
1987.12,241.00,8.81
1988.01,250.50,8.86
1988.02,258.10,8.90
1988.03,265.70,8.95
1988.04,262.60,9.04
1988.05,256.10,9.14
1988.06,270.70,9.23
1988.07,269.10,9.31
1988.08,263.70,9.38
1988.09,268.00,9.46
1988.10,277.40,9.55
1988.11,271.00,9.64
1988.12,276.50,9.75
1989.01,285.40,9.81
1989.02,294.00,9.90
1989.03,292.70,10.01
1989.04,302.30,10.09
1989.05,313.90,10.19
1989.06,323.70,10.37
1989.07,331.90,10.42
1989.08,346.60,10.55
